Date,Type,Volume,Term,Price
30/01/2017,ESC,5000,Spot,19
31/01/2017,ESC,10000,Spot,18.75
1/02/2017,ESC,5000,Spot,18.85
6/02/2017,ESC,5000,Spot,18.65
6/02/2017,ESC,5000,Spot,18.65
6/02/2017,ESC,5000,Spot,18.65
8/02/2017,ESC,5000,Spot,18.5
9/02/2017,ESC,5000,Spot,18.05
9/02/2017,ESC,5000,Spot,18
9/02/2017,ESC,5000,Spot,17.9
9/02/2017,ESC,21500,Spot,18
10/02/2017,ESC,5000,Spot,17.9
13/02/2017,ESC,12500,Spot,18
13/02/2017,ESC,13500,Spot,18
13/02/2017,ESC,5000,Spot,18
14/02/2017,ESC,30000,Spot,17.8
15/02/2017,ESC,5000,Spot,17.5
15/02/2017,ESC,5000,Spot,17.25
16/02/2017,ESC,5000,Spot,17.1
16/02/2017,ESC,5000,Spot,17
16/02/2017,ESC,10000,Spot,16.8
16/02/2017,ESC,5000,Spot,16.8
22/02/2017,ESC,5000,Spot,16
22/02/2017,ESC,5000,Spot,15.7
22/02/2017,ESC,5000,Spot,15.5
22/02/2017,ESC,5000,Spot,15.5
22/02/2017,ESC,5000,Spot,15.4
23/02/2017,ESC,5000,Spot,15.4
23/02/2017,ESC,5000,Spot,15
27/02/2017,ESC,8000,Spot,15.2
2/03/2017,ESC,5000,Spot,14.8
2/03/2017,ESC,15000,Spot,15.2
2/03/2017,ESC,6000,Spot,15
2/03/2017,ESC,15000,Spot,15.5
2/03/2017,ESC,7000,Spot,15
3/03/2017,ESC,7000,Spot,15
6/03/2017,ESC,8000,Spot,15.5
9/03/2017,ESC,10000,Spot,15.6
10/03/2017,ESC,5000,Spot,16.15
10/03/2017,ESC,5000, ,16.15
10/03/2017,ESC,24500,Spot,16
14/03/2017,ESC,7000,Spot,16.25
17/03/2017,ESC,10000,Spot,16.3
17/03/2017,ESC,10000,Spot,16.4
17/03/2017,ESC,5000,Spot,16.4
20/03/2017,ESC,5000,Spot,16.4
21/03/2017,ESC,5000,Spot,17
21/03/2017,ESC,5000,Spot,17
23/03/2017,ESC,10000,Spot,17
24/03/2017,ESC,10000,Spot,17.2
24/03/2017,ESC,10000,Spot,16.9
29/03/2017,ESC,17779,Spot,17.1
31/03/2017,ESC,6900,Spot,17.5
31/03/2017,ESC,7000,Spot,17.35
6/04/2017,ESC,5000,Spot,17.5
6/04/2017,ESC,10000,Spot,17.5
6/04/2017,ESC,6050,Spot,17.5
11/04/2017,ESC,5000,Spot,17.5
18/04/2017,ESC,10000,Spot,16.6
18/04/2017,ESC,5000,Spot,16.25
20/04/2017,ESC,9000,Spot,15.3
20/04/2017,ESC,5000,Spot,15
20/04/2017,ESC,5000,Spot,15
20/04/2017,ESC,6000,Spot,15
20/04/2017,ESC,5000,Spot,15
21/04/2017,ESC,5000,Spot,14.8
21/04/2017,ESC,10000,Spot,15
27/04/2017,ESC,10000,Spot,15
27/04/2017,ESC,10000,Spot,15.15
27/04/2017,ESC,5000,Spot,15.25
27/04/2017,ESC,8900,Spot,15.25
28/04/2017,ESC,12000,Spot,15.15
1/05/2017,ESC,5000,Spot,15.4
1/05/2017,ESC,5000,Spot,15.25
1/05/2017,ESC,5000,Spot,15.25
2/05/2017,ESC,5000,Spot,15.15
3/05/2017,ESC,10000,Spot,15.2
3/05/2017,ESC,7500,Spot,15.15
8/05/2017,ESC,5000,Spot,15.05
9/05/2017,ESC,15000,Spot,15.05
9/05/2017,ESC,5000,Spot,15
10/05/2017,ESC,10000,Spot,15.1
10/05/2017,ESC,10000,Spot,15.1
10/05/2017,ESC,16146,Spot,15
11/05/2017,ESC,5000,Spot,15
11/05/2017,ESC,5000,Spot,15
12/05/2017,ESC,10000,Spot,15.1
12/05/2017,ESC,5000,Spot,15
15/05/2017,ESC,5000,Spot,15
17/05/2017,ESC,12307,Spot,15.2
18/05/2017,ESC,8000,Spot,15.2
19/05/2017,ESC,10000,Spot,15.05
19/05/2017,ESC,5000,Spot,15
22/05/2017,ESC strip,10000,Spot,14.9
22/05/2017,ESC strip,5000,Spot,14.9
23/05/2017,ESC,5000,Spot,14.9
23/05/2017,ESC,5000,Spot,14.85
24/05/2017,ESC,6500,Spot,14.85
24/05/2017,ESC,5000,Spot,14.75
25/05/2017,ESC,5000,Spot,14.9
25/05/2017,ESC,5000,Spot,14.9
