Brand,Model,Product Website,Available,Pool Pump Type,Input Power,Current,Star Rating Index,Star Rating,Weighted Energy Factor,Daily Run Time,Projected Annual Energy Consumption (KWh/year),Date Available Until,Star Image Large,Star Image Small
Aquatight,Saturn 1.5HP,,"Australia,Fiji,New Zealand",Single speed,1056.0,4.8,1.34,1.0,14.313,3.5251,1275.1,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Baker Hydro,Nova 1.0 HP,,"Australia,Fiji,New Zealand",Single speed,870.0,3.8,1.53,1.5,15.885,3.6263,1148.9,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Baker Hydro,Nova 1.5 HP,,"Australia,Fiji,New Zealand",Single speed,1310.0,5.4,1.37,1.0,13.337,3.0933,1368.4,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Baker Hydro,Nova 2.0 HP,,"Australia,Fiji,New Zealand",Single speed,1425.0,6.1,1.25,1.0,12.594,2.954,1449.1,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Baker Hydro,Vesta 1.0 HP MK2,,"Australia,Fiji,New Zealand",Single speed,841.0,3.7,1.8,1.5,17.087,3.742,1068.1,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Baker Hydro,Vesta 1.5 HP MK2,,"Australia,Fiji,New Zealand",Single speed,1084.0,4.8,1.68,1.5,15.291,3.3029,1193.5,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Baker Hydro,Vesta 2.0 HP MK2,,"Australia,Fiji,New Zealand",Single speed,1500.0,6.6,1.59,1.5,13.327,3.0182,1369.4,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Baker Hydro,Orion 0.75 HP,,"Australia,Fiji,New Zealand",Single speed,626.0,2.82,1.58,1.5,17.768,4.9368,1027.1,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Baker Hydro,Orion 1.0 HP,,"Australia,Fiji,New Zealand",Single speed,793.0,3.5,1.5,1.5,16.255,4.085,1122.7,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Baker Hydro,Orion 1.5 HP,,"Australia,Fiji,New Zealand",Single speed,1056.0,4.8,1.34,1.0,14.313,3.5251,1275.1,2027-09-08,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1_Star.png
Lacron,Grange 0.75 HP,,"Australia,Fiji,New Zealand",Single speed,653.0,2.9,1.64,1.5,17.768,4.9368,1027.1,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
Lacron,Grange 1.0 HP,,"Australia,Fiji,New Zealand",Single speed,860.0,3.6,1.61,1.5,16.255,4.085,1122.7,2027-09-12,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/PoolPump_1.5_Star.png
