Accepted Product ID,Product Type,Method(s),Activity Definition,Brand,Model Number,Driver Brand (if declared article),Driver Model Number (if declared article),Lifetime in hours (if applicable) 	,Strip light length in meters (if applicable) ,Light output (lm) (if applicable) ,Accepted LCP/NLP Value,AS/NZS4234 version,Zone 3 System Size,Zone 3 Peak Load (MJ/day) ,Zone 3 Annual Energy Savings %,Zone 3 Bs (GJ/year) ,Zone 3 Be (GJ/year),Zone 3 HPelec (GJ/year),Zone 3 HPgas (GJ/year),Zone 3 RefElec (GJ/year),Zone 5 System Size ,Zone 5 Peak Load (MJ/day) ,Zone 5 Annual Energy Savings % ,Zone 5 Bs (GJ/year) ,Zone 5 Be (GJ/year),Zone 5 HPelec (GJ/year),Zone 5 HPgas (GJ/year),Zone 5 RefElec (GJ/year),No. of hot water tank(s) ,Tank Model Number ,Tank Size (L) ,Pre-heat tank model number(s),Finishing tank model number(s) ,Pre-heat tank volume (L) ,Finishing tank volume (L) ,Total system tank volume (L) ,Collector Type,Collector Model Number,No. of collectors,No. of  heat pump(s),Heat pump unit model number(s) ,Total heat pump thermal capacity (kW) ,System booster type ,Booster model number(s) ,Total thermal capacity (kW),System Type,Refrigerant type (GWP),Refrigerant charge (kg),AS/NZS 2712 Certificate Expiry,Limitations,Effective From,Effective To,Status
ACC0014395,LED Luminaires - Floodlight,Commercial Lighting,,XSY LED,XSY-SBFL120W,,,,,,121.16,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2018-09-12,,Active
ACC0017365,LED Luminaires - Linear Lamp,Commercial Lighting,,XSY LED,XSY-TP60W15-MS,,,,,,61.1,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
ACC0017377,LED Luminaires - High/Low Bay,Commercial Lighting,,XSY LED,XSY-HBPE100W-DH,,,,,,99.4,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2019-02-20,,Active
ACC0024823,LED Luminaires - Linear Lamp,HEER,E5,Xtreme LED,XPL-600600-18WS,,,,,,17.23,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-04-19,,Active
ACC0023583,LED Luminaires - High/Low Bay,Commercial Lighting,,XTREME LED,80W-TERMINATOR,,,,,,81.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-09-22,,Active
ACC0024825,LED Luminaires - Linear Lamp,HEER,E13,Xtreme LED,XPL-1200300-24W,,,,,,23.02,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-04-19,,Active
ACC0024081,LED Luminaires - Floodlight,Commercial Lighting,,Xtreme LED,XT-FL-200W,,,,,,198.81,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-11-17,,Active
ACC0023225,LED Luminaires - Floodlight,Commercial Lighting,,Xtreme LED,XT-FL-30W,,,,,,31.76,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-11-17,,Active
ACC0023906,LED Luminaires - Floodlight,Commercial Lighting,,Xtreme LED,XT-FL-150W,,,,,,150.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-11-17,,Active
ACC0023894,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,150W-XSERIES-HB,,,,,,149.2,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-11-17,,Active
ACC0023201,LED Luminaires - Fixed Type,Commercial Lighting,,Xtreme LED,600x600P-30W-6000K,,,,,,29.64,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-09-22,,Active
ACC0023828,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,120W-XP-HB,,,,,,124.6,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-11-17,,Active
ACC0023445,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,WH-50W,,,,,,49.4,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-11-17,,Active
ACC0024109,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,200W-RAPTOR-HB,,,,,,203.5,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-11-17,,Active
ACC0024827,LED Luminaires - Linear Lamp,HEER,E13,Xtreme LED,XPL-600600-18WS,,,,,,17.23,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-04-19,,Active
ACC0024821,LED Luminaires - Linear Lamp,HEER,E5,Xtreme LED,XPL-1200300-24W,,,,,,23.02,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-04-19,,Active
ACC0023655,LED Luminaires - High/Low Bay,Commercial Lighting,,XTREME LED,100W-TERMINATOR,,,,,,96.2,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-09-22,,Active
ACC0019969,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,H120W-S,,,,,,116.41,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-03-25,,Active
ACC0023691,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,100W-XSERIES-HB,,,,,,100.6,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-11-17,,Active
ACC0019973,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,H170W,,,,,,170.79,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2021-03-25,,Active
ACC0024104,LED Luminaires - High/Low Bay,Commercial Lighting,,Xtreme LED,200W-XP-HB,,,,,,201.8,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,2017-11-17,,Active
